play_id,old_game_id,personnel,play_action
50,2019090500,21,0
71,2019090500,21,1
95,2019090500,11,0
381,2019090500,11,0
403,2019090500,11,0
424,2019090500,11,0
676,2019090500,12,0
698,2019090500,12,0
722,2019090500,11,0
1082,2019090500,12,1
1106,2019090500,12,1
1135,2019090500,12,0
1159,2019090500,11,0
1404,2019090500,21,0
1429,2019090500,21,0
1453,2019090500,21,0
1474,2019090500,12,0
1495,2019090500,11,0
1524,2019090500,11,0
1548,2019090500,11,0
1569,2019090500,11,0
1825,2019090500,11,0
1863,2019090500,11,0
1885,2019090500,11,0
1909,2019090500,11,1
1937,2019090500,11,0
1959,2019090500,11,0
2179,2019090500,11,0
2220,2019090500,11,0
2401,2019090500,21,0
2422,2019090500,21,1
2455,2019090500,11,0
2488,2019090500,12,0
2534,2019090500,11,0
2558,2019090500,11,0
2606,2019090500,11,0
2787,2019090500,12,0
2808,2019090500,12,1
2827,2019090500,11,0
3087,2019090500,11,0
3108,2019090500,12,0
3129,2019090500,12,0
3150,2019090500,12,0
3179,2019090500,12,0
3227,2019090500,11,0
3249,2019090500,11,0
3680,2019090500,21,0
3701,2019090500,22,1
3725,2019090500,12,0
3769,2019090500,12,0
3793,2019090500,12,1
3815,2019090500,12,0
3836,2019090500,12,0
3866,2019090500,11,0
3887,2019090500,12,0
3908,2019090500,11,0
4370,2019090500,11,0
4408,2019090500,11,0
4430,2019090500,11,0
51,2019091503,12,1
80,2019091503,21,0
104,2019091503,12,0
130,2019091503,21,0
371,2019091503,11,0
395,2019091503,11,0
416,2019091503,11,0
440,2019091503,11,0
466,2019091503,11,0
487,2019091503,11,0
516,2019091503,13,0
537,2019091503,21,0
558,2019091503,11,0
594,2019091503,11,0
640,2019091503,10,0
804,2019091503,11,1
833,2019091503,11,0
871,2019091503,12,1
900,2019091503,11,0
1028,2019091503,12,0
1049,2019091503,12,1
1082,2019091503,12,0
1103,2019091503,11,1
1233,2019091503,12,0
1254,2019091503,11,0
1275,2019091503,22,0
1401,2019091503,21,0
1422,2019091503,21,0
1444,2019091503,11,0
1491,2019091503,11,1
1513,2019091503,11,0
1537,2019091503,11,0
1661,2019091503,11,1
1690,2019091503,11,0
1711,2019091503,11,0
1732,2019091503,11,0
1770,2019091503,11,1
1794,2019091503,11,0
2097,2019091503,11,0
2119,2019091503,11,0
2160,2019091503,11,0
2382,2019091503,21,0
2403,2019091503,21,0
2446,2019091503,11,0
2493,2019091503,12,0
2514,2019091503,12,0
2722,2019091503,12,0
2743,2019091503,12,0
2769,2019091503,13,0
2790,2019091503,13,0
2811,2019091503,13,0
2833,2019091503,11,0
3163,2019091503,11,0
3198,2019091503,12,1
3220,2019091503,12,0
3259,2019091503,11,0
3508,2019091503,21,1
3530,2019091503,11,0
3565,2019091503,11,0
3584,2019091503,11,0
3869,2019091503,21,1
3891,2019091503,12,0
3913,2019091503,11,0
4057,2019091503,12,0
4078,2019091503,12,0
4116,2019091503,12,0
4154,2019091503,12,1
4195,2019091503,12,0
4233,2019091503,13,0
4254,2019091503,22,0
51,2019092202,11,0
75,2019092202,21,0
101,2019092202,21,1
125,2019092202,11,0
146,2019092202,12,0
303,2019092202,11,0
324,2019092202,11,1
353,2019092202,11,0
398,2019092202,12,0
420,2019092202,11,0
449,2019092202,12,0
470,2019092202,12,0
509,2019092202,11,0
951,2019092202,21,0
995,2019092202,11,0
1030,2019092202,21,1
1094,2019092202,12,0
1118,2019092202,21,0
1139,2019092202,11,0
1576,2019092202,12,0
1597,2019092202,12,1
1626,2019092202,11,0
1696,2019092202,12,0
1734,2019092202,11,0
1897,2019092202,11,0
1918,2019092202,NA,NA
2125,2019092202,21,0
